
-------
-- ingredient
-------

INSERT INTO ingredient (id_ingredient, nom, id_unite, quantite_stock, prix_unitaire, perissable, stockage) VALUES
(1,  'Quinoa',                2, 10.0,  8.40, false, 'A'),
(2,  'Tomate',                2, 20.0,  3.30, true,  'F'),
(3,  'Concombre',             2, 25.0,  1.50, true,  'F'),
(4,  'Feuille de menthe',     1,  2.0,  4.10, true,  'F'),
(5,  'Échalote',              2, 10.0,  1.50, false, 'A'),
(6,  'Oignon',                2, 20.0,  1.50, false, 'A'),
(7,  'Huile d''olive',        3,  5.0,  1.50, false, 'A'),
(8,  'Sel fin',               1,  5.0,  1.15, false, 'A'),
(9,  'Poivre moulu',          1,  2.0, 31.50, false, 'A'),
(10, 'Lentilles vertes',      2, 15.0,  2.50, false, 'A'),
(11, 'Carotte',               2, 20.0,  1.20, true,  'F'),
(12, 'Céleri',                2, 15.0,  1.80, true,  'F'),
(13, 'Ail',                   1, 10.0,  3.00, false, 'A'),
(14, 'Pomme de terre',        2, 30.0,  1.00, true,  'F'),
(15, 'Courgette',             2, 20.0,  2.00, true,  'F'),
(16, 'Poivron rouge',         2, 15.0,  2.50, true,  'F'),
(17, 'Champignon de Paris',   2, 10.0,  3.00, true,  'F'),
(18, 'Épinards frais',        2, 10.0,  2.80, true,  'F'),
(19, 'Fromage feta',          2,  5.0,  6.00, true,  'F'),
(20, 'Pois chiches',          2, 15.0,  2.20, false, 'A'),
(21, 'Yaourt nature',         3,  5.0,  2.00, true,  'F'),
(22, 'Farine de blé',         2, 25.0,  1.00, false, 'A'),
(23, 'Levure chimique',       1,  5.0, 15.00, false, 'A'),
(24, 'Lait',                  3, 10.0,  0.90, true,  'F'),
(25, 'Beurre',                2,  5.0,  7.00, true,  'F'),
(26, 'Sucre',                 1, 10.0,  1.20, false, 'A'),
(27, 'Chocolat noir',         2,  4.0, 18.00, false, 'A'),
(28, 'Noix',                  2,  3.0, 15.00, false, 'A'),
(29, 'Riz basmati',           2, 20.0,  2.50, false, 'A'),
(30, 'Lait de coco',          3,  6.0, 3.50, true,  'F'),
(31, 'Curry en poudre',       1,  2.0, 20.00, false, 'A'),
(32, 'Pâtes',                 2, 15.0,  1.50, false, 'A'),
(33, 'Basilic frais',         1,  2.0, 15.00, true,  'F'),
(34, 'Mozzarella',            2,  4.0, 10.00, true,  'F'),
(35, 'Sauce tomate',          3,  8.0,  2.00, false, 'A'),
(36, 'Haricots rouges',       2, 10.0,  2.80, false, 'A'),
(37, 'Maïs en grains',        2,  5.0,  1.50, false, 'A'),
